iter	Passed	Remaining
548	8970	7369
549	8986	7352
550	9003	7336
551	9021	7321
552	9038	7305
553	9055	7290
554	9071	7273
555	9089	7258
556	9105	7242
557	9123	7227
558	9140	7210
559	9155	7193
560	9173	7178
561	9192	7164
562	9211	7149
563	9227	7133
564	9246	7119
565	9263	7103
566	9279	7086
567	9293	7068
568	9308	7051
569	9322	7032
570	9337	7015
571	9352	6997
572	9368	6981
573	9384	6964
574	9398	6946
575	9413	6929
576	9428	6912
577	9445	6896
578	9461	6879
579	9476	6862
580	9491	6845
581	9506	6827
582	9522	6811
583	9538	6794
584	9553	6777
585	9569	6760
586	9588	6745
587	9604	6729
588	9621	6713
589	9636	6696
590	9656	6682
591	9672	6666
592	9687	6648
593	9702	6631
594	9717	6614
595	9733	6597
596	9748	6580
597	9763	6563
598	9779	6546
599	9792	6528
600	9809	6512
601	9824	6495
602	9840	6478
603	9858	6463
604	9874	6447
605	9888	6429
606	9904	6412
607	9922	6397
608	9939	6381
609	9974	6377
610	10009	6372
611	10049	6371
612	10082	6365
613	10116	6359
614	10140	6347
615	10161	6334
616	10181	6320
617	10198	6303
618	10214	6286
619	10228	6268
620	10246	6253
621	10264	6237
622	10280	6221
623	10297	6204
624	10313	6188
625	10329	6171
626	10345	6154
627	10361	6137
628	10376	6120
629	10392	6103
630	10406	6085
631	10422	6068
632	10436	6050
633	10452	6034
634	10469	6017
635	10485	6001
636	10500	5983
637	10516	5966
638	10531	5949
639	10546	5932
640	10562	5915
641	10577	5898
642	10597	5883
643	10616	5868
644	10632	5852
645	10651	5837
646	10670	5821
647	10687	5805
648	10707	5791
649	10726	5775
650	10745	5760
651	10763	5745
652	10780	5728
653	10795	5711
654	10809	5693
655	10825	5676
656	10844	5661
657	10863	5646
658	10878	5628
659	10893	5611
660	10908	5594
661	10924	5577
662	10940	5561
663	10957	5544
664	10972	5527
665	10988	5510
666	11004	5493
667	11018	5476
668	11033	5459
669	11050	5442
670	11066	5425
671	11081	5408
672	11097	5391
673	11112	5374
674	11127	5357
675	11143	5341
676	11159	5324
677	11174	5307
678	11190	5290
679	11206	5273
680	11221	5256
681	11236	5239
682	11254	5223
683	11269	5206
684	11285	5189
685	11302	5173
686	11318	5156
687	11334	5139
688	11347	5121
689	11363	5105
690	11377	5087
691	11392	5070
692	11408	5054
693	11425	5037
694	11439	5020
695	11456	5004
696	11472	4987
697	11486	4969
698	11500	4952
699	11514	4934
700	11530	4918
701	11547	4901
702	11561	4884
703	11577	4867
704	11593	4851
705	11610	4835
706	11629	4819
707	11645	4803
708	11661	4786
709	11676	4769
710	11690	4752
711	11706	4735
712	11722	4718
713	11735	4700
714	11751	4684
715	11766	4667
716	11782	4650
717	11800	4634
718	11817	4618
719	11835	4602
720	11851	4586
721	11866	4569
722	11882	4552
723	11901	4536
724	11917	4520
725	11933	4503
726	11949	4487
727	11964	4470
728	11978	4453
729	11994	4436
730	12010	4419
731	12025	4402
732	12042	4386
733	12058	4370
734	12075	4353
735	12091	4337
736	12105	4320
737	12122	4303
738	12137	4286
739	12151	4269
740	12167	4252
741	12183	4236
742	12199	4219
743	12217	4203
744	12234	4187
745	12252	4171
746	12268	4155
747	12283	4138
748	12299	4121
749	12316	4105
750	12332	4088
751	12348	4072
752	12363	4055
753	12379	4038
754	12394	4021
755	12409	4005
756	12423	3988
757	12438	3971
758	12456	3955
759	12473	3939
760	12489	3922
761	12505	3905
762	12520	3888
763	12536	3872
764	12551	3855
765	12567	3839
766	12587	3823
767	12608	3808
768	12623	3792
769	12641	3776
770	12658	3759
771	12674	3743
772	12691	3726
773	12706	3710
774	12719	3692
775	12734	3675
776	12749	3659
777	12764	3642
778	12781	3625
779	12795	3609
780	12811	3592
781	12825	3575
782	12846	3560
783	12862	3543
784	12878	3527
785	12893	3510
786	12907	3493
787	12923	3476
788	12939	3460
789	12956	3444
790	12972	3427
791	12986	3410
792	13000	3393
793	13019	3377
794	13039	3362
795	13058	3346
796	13079	3331
797	13096	3315
798	13112	3298
799	13129	3282
800	13146	3266
801	13161	3249
802	13178	3233
803	13194	3216
804	13209	3199
805	13224	3182
806	13242	3166
807	13258	3150
808	13274	3133
809	13290	3117
810	13306	3100
811	13320	3084
812	13336	3067
813	13353	3051
814	13368	3034
815	13383	3017
816	13398	3001
817	13413	2984
818	13432	2968
819	13449	2952
820	13464	2935
821	13478	2918
822	13493	2901
823	13509	2885
824	13524	2868
825	13538	2851
826	13554	2835
827	13570	2818
828	13586	2802
829	13602	2786
830	13620	2769
831	13636	2753
832	13652	2737
833	13667	2720
834	13682	2703
835	13698	2687
836	13713	2670
837	13729	2654
838	13744	2637
839	13760	2621
840	13775	2604
841	13790	2587
842	13805	2571
843	13824	2555
844	13841	2538
845	13857	2522
846	13872	2505
847	13886	2489
848	13901	2472
849	13917	2455
850	13933	2439
851	13948	2422
852	13962	2406
853	13978	2389
854	13993	2373
855	14010	2356
856	14027	2340
857	14043	2324
858	14059	2307
859	14076	2291
860	14091	2274
861	14107	2258
862	14122	2241
863	14138	2225
864	14153	2208
865	14168	2192
866	14183	2175
867	14198	2159
868	14213	2142
869	14230	2126
870	14245	2109
871	14262	2093
872	14277	2077
873	14292	2060
874	14308	2044
875	14324	2027
876	14340	2011
877	14355	1994
878	14369	1978
879	14385	1961
880	14398	1944
881	14414	1928
882	14430	1912
883	14448	1895
884	14462	1879
885	14477	1862
886	14493	1846
887	14509	1830
888	14524	1813
889	14539	1796
890	14554	1780
891	14571	1764
892	14588	1747
893	14602	1731
894	14618	1714
895	14634	1698
896	14651	1682
897	14665	1665
898	14681	1649
899	14697	1633
900	14712	1616
901	14728	1600
902	14744	1583
903	14759	1567
904	14774	1550
905	14791	1534
906	14806	1518
907	14824	1502
908	14841	1485
909	14856	1469
910	14870	1452
911	14885	1436
912	14900	1419
913	14916	1403
914	14932	1387
915	14946	1370
916	14961	1354
917	14977	1337
918	14990	1321
919	15005	1304
920	15024	1288
921	15039	1272
922	15055	1256
923	15070	1239
924	15086	1223
925	15099	1206
926	15115	1190
927	15129	1173
928	15145	1157
929	15160	1141
930	15175	1124
931	15191	1108
932	15238	1094
933	15271	1079
934	15291	1063
935	15310	1046
936	15330	1030
937	15350	1014
938	15368	998
939	15389	982
940	15407	966
941	15423	949
942	15439	933
943	15455	916
944	15471	900
945	15486	884
946	15501	867
947	15515	851
948	15529	834
949	15545	818
950	15562	801
951	15579	785
952	15598	769
953	15616	753
954	15632	736
955	15648	720
956	15664	703
957	15682	687
958	15700	671
959	15718	654
960	15735	638
961	15750	622
962	15766	605
963	15782	589
964	15800	573
965	15816	556
966	15829	540
967	15845	523
968	15859	507
969	15874	490
970	15890	474
971	15905	458
972	15921	441
973	15936	425
974	15951	409
975	15967	392
976	15982	376
977	16000	359
978	16016	343
979	16031	327
980	16045	310
981	16060	294
982	16076	278
983	16091	261
984	16108	245
985	16123	228
986	16138	212
987	16155	196
988	16170	179
989	16185	163
990	16203	147
991	16219	130
992	16235	114
993	16250	98
994	16266	81
995	16281	65
996	16295	49
997	16309	32
998	16325	16
999	16340	0
